Scenario,EpsilonRange,T,FC,Alpha,F1_Score,Epsilon,FGSM,PGD,Train_Accuracy,Train_Loss,Val_Accuracy,Val_Loss,Test_Accuracy,Test_Loss,Memory
1,0.1-0.4,1,0,0.001,0.000589971,0,0,0,0.459024996,1.499658585,0.594600022,1.130199075,0.0003,2.400964975,0
1,0.1-0.4,2,0,0.001,0.58784745,0,0,0,0.65200001,0.991748333,0.683899999,0.909620583,0.586000025,1.150986314,0
1,0.1-0.4,3,0,0.001,0.682361829,0,0,0,0.718299985,0.810716331,0.721199989,0.800136447,0.683300018,0.920033872,0
1,0.1-0.4,4,5000,0.0001,0.473600408,0.0104,1,49,0.490999997,1.933022261,0.56099999,1.326344728,0.356299996,8.446843147,377.46875
1,0.1-0.4,5,1457,0.0001,0.613050575,0.0325,5,45,0.658800006,1.083371043,0.723999977,0.81568557,0.611199975,1.732360005,250.1875
1,0.1-0.4,6,743,0.0001,0.774824105,0.0171,17,33,0.799199998,0.628806055,0.815199971,0.557984352,0.779399991,0.724375069,248.78125
1,0.1-0.4,7,247,0.0001,0.848171427,0.0375,1,49,0.848399997,0.510810792,0.84799999,0.487387508,0.847100019,0.558536887,232.765625
1,0.1-0.4,8,136,0.0001,0.867158286,0.031,12,38,0.870199978,0.415831238,0.862200022,0.425092727,0.866900027,0.429408938,247.28125
1,0.1-0.4,9,748,1.00E-05,0.82189205,0.0201,40,10,0.872600019,0.3936584,0.869599998,0.392602205,0.828999996,0.533688307,249.875
1,0.1-0.4,10,77,1.00E-05,0.891470118,0.0329,27,23,0.891600013,0.348597616,0.90140003,0.321423143,0.892199993,0.345178157,237.125
1,0.1-0.4,11,2103,1.00E-05,0.69327454,0.0108,41,9,0.803200006,0.605849206,0.819999993,0.532762051,0.697799981,1.091188908,130.171875
1,0.1-0.4,12,331,1.00E-05,0.84231465,0.0152,1,49,0.845600009,0.48073858,0.846199989,0.483611315,0.840300024,0.49364692,211.53125
1,0.1-0.4,13,195,1.00E-05,0.855096016,0.0358,1,49,0.88319999,0.446549267,0.888000011,0.438887835,0.851400018,0.50149852,-1737.203125
1,0.1-0.4,14,186,1.00E-06,0.885968086,0.0208,28,22,0.891200006,0.354345858,0.885599971,0.353649646,0.886799991,0.365807921,-321.40625
1,0.1-0.4,15,99,1.00E-06,0.897029649,0.0358,15,35,0.895200014,0.350297153,0.902199984,0.347096264,0.896499991,0.352060229,-549.3125
1,0.1-0.4,16,85,1.00E-06,0.901324843,0.0284,8,42,0.900200009,0.322496206,0.901000023,0.327846259,0.901000023,0.326274365,-279.796875
1,0.1-0.4,17,61,1.00E-06,0.903079884,0.0368,22,28,0.899399996,0.320665687,0.909399986,0.299791396,0.903100014,0.311521262,171.671875
1,0.1-0.4,18,130,1.00E-06,0.900265848,0.0241,16,34,0.904799998,0.301686257,0.899399996,0.325359166,0.900900006,0.319865376,-857.984375
1,0.1-0.4,19,1734,1.00E-07,0.726919984,0.0101,29,21,0.742600024,0.86252892,0.748199999,0.83710134,0.733900011,0.895166039,243.6875
1,0.1-0.4,20,131,1.00E-07,0.893031087,0.0254,21,29,0.890799999,0.348862559,0.895200014,0.347895354,0.892700016,0.349093616,244.671875
1,0.1-0.4,21,673,1.00E-07,0.835031017,0.013,10,40,0.845600009,0.471629351,0.833800018,0.497619539,0.83829999,0.494369686,158.484375
1,0.1-0.4,22,172,1.00E-07,0.87956266,0.0197,25,25,0.879199982,0.371010065,0.879400015,0.364268273,0.878700018,0.368269444,-139.765625
1,0.1-0.4,23,345,1.00E-07,0.86478735,0.0168,1,49,0.86559999,0.422264546,0.866400003,0.409423083,0.8653,0.416497558,-1388.734375
1,0.1-0.4,24,97,1.00E-08,0.890662733,0.0387,21,29,0.890600026,0.368752778,0.888199985,0.386451483,0.889100015,0.377927959,129.1875
1,0.1-0.4,25,458,1.00E-08,0.850927817,0.0145,5,45,0.854799986,0.433463484,0.850000024,0.453828275,0.851999998,0.44388321,-164.671875
1,0.1-0.4,26,68,1.00E-08,0.89439313,0.025,40,10,0.89139998,0.329768509,0.893999994,0.334728092,0.892700016,0.332517147,254.703125
1,0.1-0.4,27,132,1.00E-08,0.890629696,0.0212,36,14,0.892199993,0.34092012,0.886600018,0.350943834,0.889400005,0.346046686,36.640625
1,0.1-0.4,28,134,1.00E-08,0.889718047,0.0303,10,40,0.890399992,0.364277542,0.886799991,0.372253209,0.888400018,0.368423581,-359.484375
1,0.1-0.4,29,25,1.00E-09,0.901352047,0.0384,50,0,0.899800003,0.302521497,0.900200009,0.306054503,0.899999976,0.30429709,138.4375
1,0.1-0.4,30,126,1.00E-09,0.887848428,0.0246,21,29,0.882200003,0.363481462,0.889599979,0.358200639,0.885900021,0.360843837,-983.296875
1,0.1-0.4,31,151,1.00E-09,0.887574986,0.0261,10,40,0.889400005,0.372808784,0.884199977,0.390631616,0.886799991,0.381723642,288.125
1,0.1-0.4,32,60,1.00E-09,0.896738164,0.0365,34,16,0.894999981,0.335337579,0.896200001,0.325270861,0.895600021,0.330312252,-1605.71875
1,0.1-0.4,33,109,1.00E-09,0.891156726,0.0268,23,27,0.887199998,0.349609405,0.8926,0.349537671,0.889900029,0.349578023,-246.484375
2,0.2-0.5,1,0,0.001,0.036599872,0,0,0,0.459549993,1.505277276,0.590699971,1.138131261,0.092600003,2.399205208,0
2,0.2-0.5,2,0,0.001,0.573299087,0,0,0,0.652374983,0.999449432,0.653999984,1.018281102,0.578800023,1.165050626,0
2,0.2-0.5,3,0,0.001,0.649268634,0,0,0,0.715149999,0.816426158,0.717299998,0.808046877,0.653299987,1.025511861,0
2,0.2-0.5,4,4999,0.0001,0.462411938,0.0359,15,35,0.609799981,1.632788658,0.726199985,0.850878298,0.351300001,8.589305878,364.484375
2,0.2-0.5,5,636,0.0001,0.783202799,0.0319,2,48,0.773400009,0.733136058,0.784600019,0.676475465,0.78609997,0.902267873,254.109375
2,0.2-0.5,6,156,0.0001,0.843159376,0.037,50,0,0.869000018,0.405135095,0.873199999,0.375638038,0.837499976,0.491212487,254.296875
2,0.2-0.5,7,105,0.0001,0.8763989,0.0477,44,6,0.879000008,0.3801952,0.880999982,0.37174201,0.87559998,0.420718253,238.796875
2,0.2-0.5,8,115,0.0001,0.885921347,0.0411,30,20,0.883400023,0.367531449,0.890200019,0.357207149,0.885399997,0.369206607,236.203125
2,0.2-0.5,9,1077,0.00001,0.795033668,0.0202,26,24,0.850600004,0.479553849,0.85680002,0.445979893,0.801199973,0.713783383,112.609375
2,0.2-0.5,10,80,0.00001,0.885696587,0.0473,37,13,0.904999971,0.35022819,0.896600008,0.367195755,0.882799983,0.396887183,55.34375
2,0.2-0.5,11,369,0.00001,0.874662165,0.0244,13,37,0.877799988,0.382930517,0.896799982,0.351325035,0.876699984,0.411300182,-64.78125
2,0.2-0.5,12,96,0.00001,0.900821836,0.0351,27,23,0.907199979,0.341073573,0.896399975,0.363515288,0.899999976,0.350643933,182.03125
2,0.2-0.5,13,57,0.00001,0.910769198,0.0488,12,38,0.916199982,0.287269473,0.906400025,0.320575625,0.91049999,0.304153353,148.046875
2,0.2-0.5,14,40,0.000001,0.916725181,0.0423,31,19,0.915799975,0.2769036,0.916000009,0.267301857,0.916299999,0.272179693,-148.703125
2,0.2-0.5,15,93,0.000001,0.906373773,0.0331,41,9,0.908200026,0.291995108,0.907000005,0.285423428,0.907000005,0.29043898,-2368.140625
2,0.2-0.5,16,80,0.000001,0.911668486,0.0312,45,5,0.909200013,0.280113399,0.914399981,0.269863665,0.911899984,0.275464296,103.40625
2,0.2-0.5,17,151,0.000001,0.903114422,0.0303,17,33,0.904999971,0.31504035,0.901199996,0.316409349,0.903299987,0.320279896,-56.546875
2,0.2-0.5,18,11,0.000001,0.918058606,0.0475,50,0,0.925199986,0.247632086,0.914399981,0.24309206,0.916999996,0.255881011,-23.734375
2,0.2-0.5,19,51,0.0000001,0.91755847,0.0412,37,13,0.915199995,0.275811732,0.921000004,0.26211068,0.917800009,0.269218862,195.5
2,0.2-0.5,20,56,0.0000001,0.914549902,0.0471,28,22,0.915400028,0.260406345,0.913399994,0.290012211,0.914399981,0.275332808,-375.59375
2,0.2-0.5,21,86,0.0000001,0.911927133,0.0426,12,38,0.913600028,0.304608434,0.911800027,0.293558985,0.912299991,0.299758941,338.953125
2,0.2-0.5,22,71,0.0000001,0.915126066,0.0385,25,25,0.915600002,0.268561721,0.913800001,0.28738752,0.915099978,0.278222859,243.453125
2,0.2-0.5,23,68,0.0000001,0.910729954,0.0332,47,3,0.908599973,0.274030685,0.912999988,0.277511925,0.910700023,0.275862098,96.96875
2,0.2-0.5,24,109,0.00000001,0.910395489,0.0292,48,2,0.912,0.268137902,0.909200013,0.284144163,0.91079998,0.276190609,-797.796875
2,0.2-0.5,25,91,0.00000001,0.912346039,0.042,4,46,0.908200026,0.328956276,0.916400015,0.288492531,0.912299991,0.30874002,195.125
2,0.2-0.5,26,72,0.00000001,0.910234145,0.0442,13,37,0.912400007,0.284653217,0.907199979,0.312832117,0.909799993,0.298750579,-437.171875
2,0.2-0.5,27,338,0.00000001,0.882449076,0.0253,11,39,0.881600022,0.397602201,0.887399971,0.373321474,0.884199977,0.386128843,-668.265625
2,0.2-0.5,28,78,0.00000001,0.910348054,0.0496,2,48,0.912,0.29610461,0.908599973,0.313047379,0.910300016,0.304584324,156.125
2,0.2-0.5,29,57,0.000000001,0.915397545,0.0445,23,27,0.912999988,0.283209831,0.916999996,0.288601041,0.915000021,0.285905421,-1514.484375
2,0.2-0.5,30,347,0.000000001,0.883742166,0.0236,24,26,0.887600005,0.375148267,0.884000003,0.376119912,0.885699987,0.375652522,-364.34375
2,0.2-0.5,31,354,0.000000001,0.885654439,0.0253,7,43,0.887600005,0.396254808,0.888199985,0.364658386,0.887899995,0.380472869,100.265625
2,0.2-0.5,32,56,0.000000001,0.914076312,0.0392,39,11,0.917200029,0.267542303,0.911000013,0.27820757,0.914099991,0.272875011,-42.921875
2,0.2-0.5,33,55,0.000000001,0.915940133,0.0329,48,2,0.915199995,0.257103056,0.916599989,0.270317256,0.915899992,0.263710439,82.234375
3,0.3-0.6,1,0,0.001,0.045343687,0,0,0,0.466075003,1.479422331,0.621200025,1.079183698,0.080399998,2.394174337,0
