ScenarioID,Weather,Observation window ,EI time in 2D  module (unit: second),EI prob in 2D detection module,EI time in 3D module (unit: second),EI prob in 3D module,TimeStamp,2D error indicator,3D error indicator,Miss localization error indicator
1,Persistent clear,"[0,20)","[0,20)",0,"[0,20)",0,0,0,0,0
1,Persistent clear,"[0,20)","[0,20)",0,"[0,20)",0,0.1,0,0,0
1,Persistent clear,"[0,20)","[0,20)",0,"[0,20)",0,0.15,0,1,0
1,Persistent clear,"[0,20)","[0,20)",0,"[0,20)",0,0.2,0,0,0
1,Persistent clear,"[0,20)","[0,20)",0,"[0,20)",0,0.35,0,0,0
1,Persistent clear,"[0,20)","[0,20)",0,"[0,20)",0,0.4,0,0,0
1,Persistent clear,"[0,20)","[0,20)",0,"[0,20)",0,0.5,1,1,1
1,Persistent clear,"[0,20)","[0,20)",0,"[0,20)",0,0.6,0,0,0
1,Persistent clear,"[0,20)","[0,20)",0,"[0,20)",0,0.65,0,0,0
1,Persistent clear,"[0,20)","[0,20)",0,"[0,20)",0,0.8,0,0,0
1,Persistent clear,"[0,20)","[0,20)",0,"[0,20)",0,0.95,0,0,0
1,Persistent clear,"[0,20)","[0,20)",0,"[0,20)",0,1.05,0,0,0
1,Persistent clear,"[0,20)","[0,20)",0,"[0,20)",0,1.1,0,0,0
1,Persistent clear,"[0,20)","[0,20)",0,"[0,20)",0,1.15,0,0,0
1,Persistent clear,"[0,20)","[0,20)",0,"[0,20)",0,1.2,0,0,0
1,Persistent clear,"[0,20)","[0,20)",0,"[0,20)",0,1.3,0,0,0
1,Persistent clear,"[0,20)","[0,20)",0,"[0,20)",0,1.4,0,0,0
1,Persistent clear,"[0,20)","[0,20)",0,"[0,20)",0,1.5,1,1,1
1,Persistent clear,"[0,20)","[0,20)",0,"[0,20)",0,1.55,0,0,0
1,Persistent clear,"[0,20)","[0,20)",0,"[0,20)",0,1.6,0,1,0
1,Persistent clear,"[0,20)","[0,20)",0,"[0,20)",0,1.65,0,0,0
1,Persistent clear,"[0,20)","[0,20)",0,"[0,20)",0,1.7,0,0,0
1,Persistent clear,"[0,20)","[0,20)",0,"[0,20)",0,1.8,0,0,0
